Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,Month,Series,Value
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,June,NumberOfTransactions,7419.677
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,June,SalesPrice,168589628.69
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,June,Basis,109847054.69
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,June,Gain,51741748.076
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,June,NumberOfTransactions,2189.42976
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,June,SalesPrice,33577742.145
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,June,Basis,38988579.316
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,June,Loss,5418072.947
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,July,NumberOfTransactions,7500.19341
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,July,SalesPrice,122919396.34
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,July,Basis,73121924.185
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,July,Gain,41599533.689
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,July,NumberOfTransactions,2081.26514
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,July,SalesPrice,22826161.886
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,July,Basis,27371856.06
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,July,Loss,4548269.127
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,August,NumberOfTransactions,6620.2174
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,August,SalesPrice,115846491.38
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,August,Basis,77259230.764
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,August,Gain,34072582.711
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,August,NumberOfTransactions,2501.78298
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,August,SalesPrice,23769915.973
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,August,Basis,28288076.618
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,August,Loss,4538439.466
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,September,NumberOfTransactions,5785.09635
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,September,SalesPrice,92813518.64
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,September,Basis,58126494.78
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,September,Gain,30420419.311
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,September,NumberOfTransactions,1872.52571
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,September,SalesPrice,19055274.28
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,September,Basis,23453556.196
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,September,Loss,4426363.747
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,October,NumberOfTransactions,7999.77025
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,October,SalesPrice,108281564.74
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,October,Basis,65189090.506
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,October,Gain,41054242.777
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,October,NumberOfTransactions,2644.3017
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,October,SalesPrice,22855472.123
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,October,Basis,28316032.179
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,October,Loss,5440922.626
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,November,NumberOfTransactions,6158.91059
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,November,SalesPrice,99830909.288
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,November,Basis,62278567.614
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,November,Gain,33842933.107
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,November,NumberOfTransactions,3110.52206
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,November,SalesPrice,27506132.036
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,November,Basis,35246085.66
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,November,Loss,7694939.702
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,December,NumberOfTransactions,5578.3508
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,December,SalesPrice,133021930.57
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,December,Basis,89131845.981
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,December,Gain,41826831.388
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,December,NumberOfTransactions,5041.54251
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,December,SalesPrice,50145376.541
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,December,Basis,70841510.906
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,December,Loss,20670083.82
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,Not determinate,NumberOfTransactions,22220.46806
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,Not determinate,SalesPrice,201701067.66
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,Not determinate,Basis,135407136.53
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,Not determinate,Gain,503001265.43
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,Not determinate,NumberOfTransactions,2060.46687
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,Not determinate,SalesPrice,44601238.835
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,Not determinate,Basis,54675666.448
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,Not determinate,Loss,23042505.85
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,NumberOfTransactions,60241.03182
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,SalesPrice,1105388808.825
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,Basis,1058145770.8899999
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,Gain,48806844.6787
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,NumberOfTransactions,42704.59359
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,SalesPrice,766966956.094
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,Basis,809288490.77
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,Loss,44197026.09
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,January,NumberOfTransactions,4415.7793
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,January,SalesPrice,43165588.954
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,January,Basis,40458633.211
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,January,Gain,2845311.4557
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,January,NumberOfTransactions,2136.99787
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,January,SalesPrice,26637543.432
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,January,Basis,28088813.033
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,January,Loss,1577728.137
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,February,NumberOfTransactions,3880.35013
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,February,SalesPrice,36543918.08
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,February,Basis,33767158.503
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,February,Gain,2747468.6578
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,February,NumberOfTransactions,1768.38435
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,February,SalesPrice,23714675.796
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,February,Basis,25018263.157
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,February,Loss,1364097.349
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,March,NumberOfTransactions,3636.57524
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,March,SalesPrice,31794116.315
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,March,Basis,29741867.763
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,March,Gain,2199732.0472
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,March,NumberOfTransactions,2461.14407
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,March,SalesPrice,25391860.137
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,March,Basis,27093795.289
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,March,Loss,1839647.852
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,April,NumberOfTransactions,4728.9039
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,April,SalesPrice,35551971.488
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,April,Basis,32716059.419
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,April,Gain,2942551.078
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,April,NumberOfTransactions,1971.59247
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,April,SalesPrice,21391459.384
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,April,Basis,22549163.106
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,April,Loss,1285047.6
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,May,NumberOfTransactions,4751.29009
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,May,SalesPrice,39028293.611
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,May,Basis,35693749.172
SOIIndividual,Table3B,2007,ShortTerm,GainTransaction,CorporateStock,May,Gain,3210850.3923
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,May,NumberOfTransactions,2114.54964
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,May,SalesPrice,28352241.351
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,May,Basis,29565079.427
SOIIndividual,Table3B,2007,ShortTerm,LossTransaction,CorporateStock,May,Loss,1374780.654
