Data,TableID,Year,TransactionType,AssetType,Series,Value
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PutAndCallOptions,SalesPrice,24136464.8618
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PutAndCallOptions,Basis,31981920.472
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PutAndCallOptions,Loss,8500837.661
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,PutAndCallOptions,Number,266.66584
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,PutAndCallOptions,SalesPrice,6601822.1928
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,PutAndCallOptions,Basis,6954809.444
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,FuturesContracts,Number,732.66336
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,FuturesContracts,SalesPrice,47044022.0705
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,FuturesContracts,Basis,38772246.849700004
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,FuturesContracts,NetGainloss,8381409.04588
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,FuturesContracts,Number,398.50233
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,FuturesContracts,SalesPrice,27092384.8481
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,FuturesContracts,Basis,8031205.3693
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,FuturesContracts,Gain,19276304.586499996
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,FuturesContracts,Number,327.72387
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,FuturesContracts,SalesPrice,7292840.4505
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,FuturesContracts,Basis,18080291.0797
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,FuturesContracts,Loss,10894895.5383
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,FuturesContracts,Number,6.43716
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,FuturesContracts,SalesPrice,12658796.771890001
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,FuturesContracts,Basis,12660750.40073
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,MutualFundsExceptTaxExemptBondFunds,Number,44851.98303
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,MutualFundsExceptTaxExemptBondFunds,SalesPrice,538678121.779
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,MutualFundsExceptTaxExemptBondFunds,Basis,512336390.383
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,MutualFundsExceptTaxExemptBondFunds,NetGainloss,28129388.75
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,MutualFundsExceptTaxExemptBondFunds,Number,28208.23487
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,MutualFundsExceptTaxExemptBondFunds,SalesPrice,343575522.72
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,MutualFundsExceptTaxExemptBondFunds,Basis,300463583.0
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,MutualFundsExceptTaxExemptBondFunds,Gain,43612621.0009
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,MutualFundsExceptTaxExemptBondFunds,Number,12667.54129
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,MutualFundsExceptTaxExemptBondFunds,SalesPrice,156884770.555
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,MutualFundsExceptTaxExemptBondFunds,Basis,172363808.54799998
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,MutualFundsExceptTaxExemptBondFunds,Loss,15483232.25
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,MutualFundsExceptTaxExemptBondFunds,Number,3976.20687
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,MutualFundsExceptTaxExemptBondFunds,SalesPrice,38217828.507
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,MutualFundsExceptTaxExemptBondFunds,Basis,39508998.8375
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,TaxExemptBondMutualFunds,Number,3621.46302
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,TaxExemptBondMutualFunds,SalesPrice,65716312.9743
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,TaxExemptBondMutualFunds,Basis,66334383.7179
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,TaxExemptBondMutualFunds,NetGainloss,-691749.5436
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,TaxExemptBondMutualFunds,Number,702.20107
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,TaxExemptBondMutualFunds,SalesPrice,13602419.9758
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,TaxExemptBondMutualFunds,Basis,12913219.559
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,TaxExemptBondMutualFunds,Gain,755947.84073
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,TaxExemptBondMutualFunds,Number,2196.14378
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,TaxExemptBondMutualFunds,SalesPrice,36407246.401
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,TaxExemptBondMutualFunds,Basis,37777827.519
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,TaxExemptBondMutualFunds,Loss,1447697.3848
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,TaxExemptBondMutualFunds,Number,723.11817
