Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,AGI,Series,Value
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"20,000 under 50,000",Loss,3027386.548
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"50,000 under 100,000",NumberOfReturns,1658459.06
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"50,000 under 100,000",NumberOfReturns,1289346.2
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"50,000 under 100,000",NumberOfTransactions,9823836.26
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"50,000 under 100,000",Gain,5747938.9391
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"50,000 under 100,000",NumberOfReturns,884452.77
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"50,000 under 100,000",NumberOfTransactions,6850188.83
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"50,000 under 100,000",Loss,5922001.197
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"100,000 under 200,000",NumberOfReturns,1707717.32
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"100,000 under 200,000",NumberOfReturns,1350738.71
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"100,000 under 200,000",NumberOfTransactions,15171277.65
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"100,000 under 200,000",Gain,8150359.3504
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"100,000 under 200,000",NumberOfReturns,975873.83
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"100,000 under 200,000",NumberOfTransactions,8249725.24
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"100,000 under 200,000",Loss,7409992.228
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"200,000 under 500,000",NumberOfReturns,941003.37
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"200,000 under 500,000",NumberOfReturns,748502.38
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"200,000 under 500,000",NumberOfTransactions,12262206.85
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"200,000 under 500,000",Gain,10206256.972
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"200,000 under 500,000",NumberOfReturns,590389.16
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"200,000 under 500,000",NumberOfTransactions,9132544.51
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"200,000 under 500,000",Loss,7712113.527
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"500,000 under 1,000,000",NumberOfReturns,255535.26
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"500,000 under 1,000,000",NumberOfReturns,209034.73
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"500,000 under 1,000,000",NumberOfTransactions,5280328.46
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"500,000 under 1,000,000",Gain,5552283.1929
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"500,000 under 1,000,000",NumberOfReturns,180647.32
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"500,000 under 1,000,000",NumberOfTransactions,4060404.66
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"500,000 under 1,000,000",Loss,4298961.656
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"1,000,000 or more",NumberOfReturns,185866.23
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"1,000,000 or more",NumberOfReturns,156195.03
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"1,000,000 or more",NumberOfTransactions,7910098.56
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"1,000,000 or more",Gain,13644463.454
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"1,000,000 or more",NumberOfReturns,142871.46
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"1,000,000 or more",NumberOfTransactions,6474287.69
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"1,000,000 or more",Loss,10962116.46
SOIIndividual,Table2B,2007,LongTerm,AllTransactions,CorporateStock,AllReturns,NumberOfReturns,9638541.8
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,AllReturns,NumberOfReturns,7893208.2
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,AllReturns,NumberOfTransactions,53402826.33
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,AllReturns,Gain,271314847.6
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,AllReturns,NumberOfReturns,4583503.83
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,AllReturns,NumberOfTransactions,19186097.61
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,AllReturns,Loss,48025190.95
SOIIndividual,Table2B,2007,LongTerm,AllTransactions,CorporateStock,AdjustedGrossDeficit,NumberOfReturns,173654.75
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfReturns,124674.76
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfTransactions,740141.2
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,AdjustedGrossDeficit,Gain,2455194.9316
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfReturns,103556.39
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfTransactions,371582.71
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,AdjustedGrossDeficit,Loss,2044194.428
SOIIndividual,Table2B,2007,LongTerm,AllTransactions,CorporateStock,"Under 20,000",NumberOfReturns,1063602.81
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"Under 20,000",NumberOfReturns,845313.52
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"Under 20,000",NumberOfTransactions,2114599.8
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"Under 20,000",Gain,2649206.0079
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"Under 20,000",NumberOfReturns,445248.51
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"Under 20,000",NumberOfTransactions,940414.83
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"Under 20,000",Loss,2214459.288
SOIIndividual,Table2B,2007,LongTerm,AllTransactions,CorporateStock,"20,000 under 50,000",NumberOfReturns,1529363.58
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"20,000 under 50,000",NumberOfReturns,1217850.99
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"20,000 under 50,000",NumberOfTransactions,3805508.18
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"20,000 under 50,000",Gain,5366007.4851
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"20,000 under 50,000",NumberOfReturns,659868.34
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"20,000 under 50,000",NumberOfTransactions,1639611.63
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"20,000 under 50,000",Loss,3987801.486
SOIIndividual,Table2B,2007,LongTerm,AllTransactions,CorporateStock,"50,000 under 100,000",NumberOfReturns,2664288.9
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"50,000 under 100,000",NumberOfReturns,2142037.22
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"50,000 under 100,000",NumberOfTransactions,8508986.83
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"50,000 under 100,000",Gain,14628286.344
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"50,000 under 100,000",NumberOfReturns,1212332.27
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"50,000 under 100,000",NumberOfTransactions,3292381.69
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"50,000 under 100,000",Loss,7931860.952
SOIIndividual,Table2B,2007,LongTerm,AllTransactions,CorporateStock,"100,000 under 200,000",NumberOfReturns,2469576.33
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"100,000 under 200,000",NumberOfReturns,2050431.34
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"100,000 under 200,000",NumberOfTransactions,12343244.24
SOIIndividual,Table2B,2007,LongTerm,GainTransaction,CorporateStock,"100,000 under 200,000",Gain,26718441.689
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"100,000 under 200,000",NumberOfReturns,1183624.77
SOIIndividual,Table2B,2007,LongTerm,LossTransaction,CorporateStock,"100,000 under 200,000",NumberOfTransactions,4545617.85
