Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,TimeHeld,Series,Value
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Holding period not determinable,SalesPrice,1070598100
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Holding period not determinable,Basis,1030051838
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Holding period not determinable,Gain,76408372.02
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Holding period not determinable,NumberOfTransactions,18347.64567
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Holding period not determinable,SalesPrice,806289710
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Holding period not determinable,Basis,836365943.2
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,Holding period not determinable,Loss,40258721.65
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,NumberOfTransactions,104943.9351
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,SalesPrice,1612582939
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,Basis,1021539281
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,AllReturns,Gain,970360118.3
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,NumberOfTransactions,31254.13953
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,SalesPrice,339532937.4
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,Basis,424008210.6
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,AllReturns,Loss,97405511.48
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Under 18 months,NumberOfTransactions,32345.37516
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Under 18 months,SalesPrice,532456255
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Under 18 months,Basis,358721291.5
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,Under 18 months,Gain,167786332.5
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Under 18 months,NumberOfTransactions,11206.74827
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Under 18 months,SalesPrice,133267265.4
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Under 18 months,Basis,160154777.8
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,Under 18 months,Loss,26944543.91
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,18 months under 2 years,NumberOfTransactions,11482.89719
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,18 months under 2 years,SalesPrice,101111350.5
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,18 months under 2 years,Basis,80129821.74
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,18 months under 2 years,Gain,20221043.71
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,18 months under 2 years,NumberOfTransactions,4044.64637
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,18 months under 2 years,SalesPrice,34950031.61
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,18 months under 2 years,Basis,41354781.11
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,18 months under 2 years,Loss,6415483.672
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,2 years under 3 years,NumberOfTransactions,13649.05725
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,2 years under 3 years,SalesPrice,144184616.4
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,2 years under 3 years,Basis,107364968.4
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,2 years under 3 years,Gain,33250810.8
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,2 years under 3 years,NumberOfTransactions,4512.47887
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,2 years under 3 years,SalesPrice,43796602.25
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,2 years under 3 years,Basis,52634690.31
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,2 years under 3 years,Loss,8797487.088
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,3 years under 4 years,NumberOfTransactions,7562.99569
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,3 years under 4 years,SalesPrice,101132772
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,3 years under 4 years,Basis,70795837.38
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,3 years under 4 years,Gain,26383595.29
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,3 years under 4 years,NumberOfTransactions,2349.55383
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,3 years under 4 years,SalesPrice,23785435.11
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,3 years under 4 years,Basis,29374051.37
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,3 years under 4 years,Loss,5535903.688
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,4 years under 5 years,NumberOfTransactions,4257.70264
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,4 years under 5 years,SalesPrice,72414477.16
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,4 years under 5 years,Basis,47802538.57
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,4 years under 5 years,Gain,20787768.9
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,4 years under 5 years,NumberOfTransactions,1201.47508
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,4 years under 5 years,SalesPrice,14545235.99
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,4 years under 5 years,Basis,18085442.24
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,4 years under 5 years,Loss,3532637.512
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,5 years under 10 years,NumberOfTransactions,8568.75973
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,5 years under 10 years,SalesPrice,216302474.3
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,5 years under 10 years,Basis,129152031.1
SOIIndividual,Table4A,2007,LongTerm,GainTransaction,AllAsset,5 years under 10 years,Gain,71682249.47
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,5 years under 10 years,NumberOfTransactions,4910.74315
SOIIndividual,Table4A,2007,LongTerm,LossTransaction,AllAsset,5 years under 10 years,SalesPrice,34047285.08
